Table S1. Data for the genome collection employed in this work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,Length,GC.content,Present.Markers,Completeness,Redundancy,Weighted.completeness,Weighted.redundancy,Contigs,N50,L50,N90,L90,CDs,
GCF_000021845.1,PRJNA224116,SAMN00000037,,na,440085,408,Methylorubrum extorquens CM4,strain=CM4,,latest,Complete Genome,Major,Full,2008-12-19,ASM2184v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000021845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/845/GCF_000021845.1_ASM2184v1,,assembly from synonym type material,6180732,68.08,104,0.9905,1.0192,0.9998,1.039,3,5777908,1,5777908,1,5700,
GCF_000022085.1,PRJNA224116,SAMN00000043,,representative genome,460265,114616,Methylobacterium nodulans ORS 2060,strain=ORS 2060,,latest,Complete Genome,Major,Full,2009-01-12,ASM2208v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000022085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/085/GCF_000022085.1_ASM2208v1,,assembly from type material,8839022,68.44,103,0.981,1.0291,0.9743,1.0363,8,7772460,1,487734,2,8636,
GCF_000022745.1,PRJNA224116,SAMN02603148,,representative genome,568815,444163,Brucella microti CCM 4915,strain=CCM 4915,,latest,Complete Genome,Major,Full,2009-08-18,ASM2274v1,CNRS,GCA_000022745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/745/GCF_000022745.1_ASM2274v1,,assembly from type material,3337369,57.25,105,1,1.0095,1,1.0121,2,2117050,1,1220319,2,3092,
GCF_000046705.1,PRJNA224116,SAMEA3138249,,representative genome,283166,38323,Bartonella henselae str. Houston-1,strain=Houston-1,,latest,Complete Genome,Major,Full,2004-06-25,ASM4670v1,Uppsala Univ.,GCA_000046705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/705/GCF_000046705.1_ASM4670v1,,assembly from type material,1931047,38.23,104,0.9905,1,0.9814,1,1,1931047,1,1931047,1,1634,
GCF_000083545.1,PRJNA224116,SAMEA3138288,,na,272630,408,Methylorubrum extorquens AM1,strain=DM4,,latest,Complete Genome,Major,Full,2009-07-17,ASM8354v1,Genoscope,GCA_000083545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/083/545/GCF_000083545.1_ASM8354v1,,assembly from synonym type material,6123851,68,103,0.981,1.0194,0.9743,1.04,3,5943768,1,5943768,1,5764,
GCF_000092025.1,PRJNA224116,SAMN02603108,,representative genome,176299,1176649,Agrobacterium fabrum str. C58,strain=C58,,latest,Complete Genome,Major,Full,2007-11-05,ASM9202v1,Cereon,GCA_000092025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/025/GCF_000092025.1_ASM9202v1,,assembly from type material,5674258,59.04,104,0.9905,1,0.9918,1,4,2841580,1,542868,3,5288,
GCF_000092045.1,PRJNA224116,SAMN02603106,,representative genome,347834,29449,Rhizobium etli CFN 42,strain=CFN 42,,latest,Complete Genome,Major,Full,2006-03-06,ASM9204v1,Centro de Ciencias Genomicas. Universidad Nacional Autonoma de Mexico,GCA_000092045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1,,assembly from type material,6530228,61.03,104,0.9905,1.0192,0.9814,1.0383,7,4381608,1,371254,4,6255,
GCF_000092925.1,PRJNA224116,SAMN02598514,,representative genome,639283,921,Starkeya novella DSM 506,strain=DSM 506,,latest,Complete Genome,Major,Full,2010-05-27,ASM9292v1,US DOE Joint Genome Institute,GCA_000092925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/925/GCF_000092925.1_ASM9292v1,,assembly from type material,4765023,67.88,104,0.9905,1.0096,0.9814,1.0239,1,4765023,1,4765023,1,4482,
GCF_000143145.1,PRJNA224116,SAMN02598499,,representative genome,582899,53399,Hyphomicrobium denitrificans ATCC 51888,strain=ATCC 51888,,latest,Complete Genome,Major,Full,2010-06-25,ASM14314v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000143145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/145/GCF_000143145.1_ASM14314v1,,assembly from type material,3638969,60.81,103,0.981,1.0097,0.9732,1.0262,1,3638969,1,3638969,1,3550,
GCF_000153465.1,PRJNA224116,SAMN02436161,AAPJ00000000.1,representative genome,287752,651183,Aurantimonas manganoxydans SI85-9A1,strain=SI85-9A1,,latest,Scaffold,Major,Full,2006-04-07,ASM15346v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCA_000153465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/465/GCF_000153465.1_ASM15346v1,,assembly from type material,4326814,66.72,104,0.9905,1.0288,0.9814,1.052,22,4285343,1,4285343,1,4027,
GCF_000153705.1,PRJNA224116,SAMN02436126,AATP00000000.1,representative genome,314231,217511,Fulvimarina pelagi HTCC2506,strain=HTCC2506,,latest,Scaffold,Major,Full,2006-10-23,ASM15370v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCA_000153705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/705/GCF_000153705.1_ASM15370v1,,assembly from type material,3806238,61.17,103,0.981,1,0.9732,1,4,3705815,1,3705815,1,3530,
GCF_000154705.2,PRJNA224116,SAMN02436119,ABIA00000000.3,representative genome,411684,244596,Hoeflea phototrophica DFL-43,strain=DFL-43,,latest,Chromosome,Major,Full,2014-09-24,ASM15470v2,The Gordon and Betty Moore Foundation Microbial Genome Sequencing Project,GCA_000154705.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/705/GCF_000154705.2_ASM15470v2,,assembly from type material,4468465,59.8,104,0.9905,1.0096,0.9814,1.0239,1,4468465,1,4468465,1,4231,
GCF_000158715.1,PRJNA224116,SAMN02595289,ACEH00000000.1,na,520456,29460,Brucella neotomae 5K33,strain=5K33,,latest,Scaffold,Major,Full,2009-02-24,ASM15871v1,Broad Institute,GCA_000158715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/715/GCF_000158715.1_ASM15871v1,,assembly from type material,3329623,56.74,105,1,1.0095,1,1.0121,11,1923503,1,1194235,2,3154,
GCF_000160295.1,PRJNA224116,SAMN02595311,ACJL00000000.1,na,224914,29459,Brucella melitensis bv. 1 str. 16M,strain=16M,,latest,Scaffold,Major,Full,2009-09-30,ASM16029v1,Broad Institute,GCA_000160295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/295/GCF_000160295.1_ASM16029v1,,assembly from type material,3291248,56.86,105,1,1.0095,1,1.0121,15,1170554,2,531344,3,3150,
GCF_000166055.1,PRJNA224116,SAMN00007427,,representative genome,648757,1069,Rhodomicrobium vannielii ATCC 17100,strain=ATCC 17100,,latest,Complete Genome,Major,Full,2010-11-05,ASM16605v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000166055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/055/GCF_000166055.1_ASM16605v1,,assembly from type material,4014469,62.25,104,0.9905,1.0096,0.9814,1.0214,1,4014469,1,4014469,1,3671,
GCF_000176035.2,PRJNA224116,SAMN02232036,,representative genome,536019,593909,Mesorhizobium opportunistum WSM2075,strain=WSM2075,,latest,Complete Genome,Major,Full,2011-06-14,ASM17603v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000176035.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/035/GCF_000176035.2_ASM17603v2,,assembly from type material,6884444,62.87,104,0.9905,1.0385,0.9814,1.081,1,6884444,1,6884444,1,6635,
GCF_000178815.2,PRJNA224116,SAMN02441795,ADVE00000000.2,na,595536,426,Methylosinus trichosporium OB3b,strain=OB3b,,latest,Contig,Major,Full,2014-01-06,ASM17881v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000178815.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/815/GCF_000178815.2_ASM17881v2,,assembly from type material,4962262,65.95,103,0.981,1.0097,0.9743,1.0241,3,4496051,1,4496051,1,4482,
GCF_000182645.1,PRJNA224116,SAMN02472089,ACQA00000000.1,representative genome,641118,94625,Ochrobactrum intermedium LMG 3301,strain=LMG 3301,,latest,Scaffold,Major,Full,2009-06-11,ASM18264v1,Virginia Bioinformatics Institute,GCA_000182645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/645/GCF_000182645.1_ASM18264v1,,assembly from type material,4725392,57.74,104,0.9905,1.0288,0.9814,1.0576,4,2604449,1,1919951,2,4554,
GCF_000182725.1,PRJNA224116,SAMN02472076,ADEZ00000000.1,representative genome,470735,1218315,Brucella inopinata BO1,strain=BO1,,latest,Contig,Major,Full,2010-09-03,ASM18272v1,Virginia Bioinformatics Institute. Virginia Tech. Blacksburg. VA,GCA_000182725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/725/GCF_000182725.1_ASM18272v1,,assembly from type material,3366774,57.06,105,1,1.0095,1,1.0121,55,142339,8,56957,22,3175,
GCF_000196435.1,PRJNA224116,SAMEA3138339,,representative genome,382640,85701,Bartonella tribocorum CIP 105476,strain=type strain:506 = CIP 105476,,latest,Complete Genome,Major,Full,2007-11-25,ASM19643v1,Department of Biochemistry and Molecular Biology. Center for Comparative Genomics and Bioinformatics Center for Infectious Disease Dynamics. Penn State University,GCA_000196435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/435/GCF_000196435.1_ASM19643v1,,assembly from type material,2642404,38.82,104,0.9905,1.0096,0.9814,1.0154,2,2619061,1,2619061,1,2309,
GCF_000218565.1,PRJNA224116,SAMN02603254,,representative genome,504832,40137,Oligotropha carboxidovorans OM5,strain=OM5,,latest,Complete Genome,Major,Full,2011-06-15,ASM21856v1,Georg-August Universit¤t Gĥttingen,GCA_000218565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1,,assembly from type material,3896074,62.33,104,0.9905,1.0096,0.9814,1.0203,3,3595748,1,3595748,1,3710,
GCF_000223195.1,PRJNA224116,SAMN02604297,,na,204722,29461,Brucella suis 1330,strain=1330,,latest,Complete Genome,Major,Full,2011-08-10,ASM22319v1,Virginia Bioinformatics Institute,GCA_000223195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/195/GCF_000223195.1_ASM22319v1,,assembly from type material,3315163,57.25,105,1,1.0095,1,1.0121,2,2107783,1,1207380,2,3102,
GCF_000230555.1,PRJNA224116,SAMN02604343,,representative genome,1082931,531813,Pelagibacterium halotolerans B2,strain=B2,,latest,Complete Genome,Major,Full,2011-10-14,ASM23055v1,Zhejiang University,GCA_000230555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/555/GCF_000230555.1_ASM23055v1,,assembly from type material,3948887,61.36,105,1,1.0095,1,1.0167,2,3944837,1,3944837,1,3854,
GCF_000230995.2,PRJNA224116,SAMN02232035,,representative genome,754035,536018,Mesorhizobium australicum WSM2073,strain=WSM2073,,latest,Complete Genome,Major,Full,2012-12-28,ASM23099v3,DOE Joint Genome Institute,GCA_000230995.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/995/GCF_000230995.2_ASM23099v3,,assembly from type material,6200534,62.84,104,0.9905,1.0385,0.9814,1.0834,1,6200534,1,6200534,1,5935,
GCF_000236565.1,PRJNA224116,SAMN02470709,AHAM00000000.1,representative genome,1107882,475067,Mesorhizobium alhagi CCNWXJ12-2,strain=CCNWXJ12-2,,latest,Contig,Major,Full,2011-12-01,ASM23656v2,Northwest A&F University,GCA_000236565.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/565/GCF_000236565.1_ASM23656v2,,assembly from type material,6968952,62.64,104,0.9905,1.0288,0.9814,1.0484,375,35501,58,11021,190,7065,
GCF_000250795.1,PRJNA224116,SAMN02469571,AHWC00000000.1,na,224914,29459,Brucella melitensis bv. 1 str. 16M,strain=16M,,latest,Contig,Major,Full,2012-02-28,ASM25079v2,Chinese PLA Institute for Disease Control & Prevention. Academy of Military Medical Sciences,GCA_000250795.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/795/GCF_000250795.1_ASM25079v2,,assembly from type material,3283081,57.24,105,1,1.0095,1,1.0121,75,83582,13,27688,36,3145,
GCF_000261485.1,PRJNA224116,SAMN02469481,AJQT00000000.1,na,716928,716925,Ensifer sojae CCBAU 05684,strain=CCBAU 05684,,latest,Contig,Major,Full,2012-05-03,5684,China Agricultural University,GCA_000261485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/485/GCF_000261485.1_05684,,assembly from type material,5964336,62.03,104,0.9905,1.0096,0.9918,1.0122,231,61030,29,16404,95,5705,
GCF_000262405.1,PRJNA224116,SAMN02261420,AJUA00000000.1,representative genome,864069,864069,Microvirga lotononidis,strain=WSM3557,,latest,Scaffold,Major,Full,2012-05-29,ASM26240v1,JGI,GCA_000262405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/405/GCF_000262405.1_ASM26240v1,,assembly from type material,7082538,63,105,1,1.019,1,1.0432,18,1785913,2,184839,8,7013,
GCF_000273375.1,PRJNA224116,SAMN02472046,AKIP00000000.1,representative genome,1095900,111504,Bartonella birtlesii IBS 325,strain=IBS 325,,latest,Chromosome,Major,Full,2012-08-06,ASM27337v1,URMITE,GCA_000273375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/273/375/GCF_000273375.1_ASM27337v1,,assembly from type material,1834009,37.11,104,0.9905,1.0096,0.9814,1.0196,1,1834009,1,1834009,1,1634,
GCF_000278155.1,PRJNA224116,SAMN02596900,AILV00000000.1,representative genome,1094553,33044,Bartonella doshiae NCTC 12862 = ATCC 700133,strain=NCTC 12862,,latest,Scaffold,Major,Full,2012-07-25,Bart_dosh_NCTC_12862_R18_V1,Broad Institute,GCA_000278155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/155/GCF_000278155.1_Bart_dosh_NCTC_12862_R18_V1,,assembly from type material,1810183,37.66,104,0.9905,1,0.9814,1,7,430161,2,165876,4,1575,
GCF_000278215.1,PRJNA224116,SAMN02596903,AILY00000000.1,representative genome,1094556,270250,Bartonella rattimassiliensis 15908,strain=15908,,latest,Scaffold,Major,Full,2012-07-25,Bart_ratt_15908_V1,Broad Institute,GCA_000278215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/215/GCF_000278215.1_Bart_ratt_15908_V1,,assembly from type material,2170653,35.08,104,0.9905,1,0.9814,1,12,439823,2,181358,6,1742,
GCF_000278235.1,PRJNA224116,SAMN02596904,AILZ00000000.1,na,1094562,33047,Bartonella vinsonii subsp. arupensis OK-94-513,strain=OK-94-513,,latest,Scaffold,Major,Full,2012-07-25,Bart_vins_OK-94-513_V1,Broad Institute,GCA_000278235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/235/GCF_000278235.1_Bart_vins_OK-94-513_V1,,assembly from type material,1786506,37.89,104,0.9905,1,0.9814,1,6,1167482,1,465725,2,1479,
GCF_000278315.1,PRJNA224116,SAMN02596910,AIMF00000000.1,na,1094555,807,Bartonella elizabethae F9251 = ATCC 49927,strain=F9251,,latest,Scaffold,Major,Full,2012-07-25,Bart_eliz_F9251_V1,Broad Institute,GCA_000278315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/315/GCF_000278315.1_Bart_eliz_F9251_V1,,assembly from type material,1978557,37.62,104,0.9905,1,0.9814,1,4,1327536,1,187210,3,1648,
GCF_000280015.1,PRJNA224116,SAMN02596909,AIME00000000.1,representative genome,1094551,52764,Bartonella alsatica IBS 382,strain=IBS 382,,latest,Scaffold,Major,Full,2012-07-25,Bart_alsa_IBS_382_V1,Broad Institute,GCA_000280015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/015/GCF_000280015.1_Bart_alsa_IBS_382_V1,,assembly from type material,1673902,36.27,104,0.9905,1,0.9814,1,1,1673902,1,1673902,1,1385,
GCF_000283235.1,PRJNA224116,SAMN02469457,AJTV00000000.1,representative genome,1134912,134,Methylocystis parvus OBBP,strain=OBBP,,latest,Contig,Major,Full,2012-07-31,MetPar_1.0,CIB-CSIC,GCA_000283235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/235/GCF_000283235.1_MetPar_1.0,,assembly from type material,4475912,63.35,105,1,1.019,1,1.0321,108,95607,18,29975,51,4333,
GCF_000284375.1,PRJNA224116,SAMD00060992,,representative genome,1037409,375,Bradyrhizobium japonicum USDA 6,strain=USDA 6,,latest,Complete Genome,Major,Full,2011-10-31,ASM28437v1,Kyoto Sangyo University,GCA_000284375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/375/GCF_000284375.1_ASM28437v1,,assembly from type material,9207384,63.67,104,0.9905,1.0096,0.9814,1.0227,1,9207384,1,9207384,1,8701,
GCF_000298315.2,PRJNA224116,SAMN02469448,AEYE00000000.2,na,990285,1120045,Rhizobium grahamii CCGE 502,strain=CCGE 502,,latest,Scaffold,Major,Full,2013-06-18,ASM29831v2,Universidad Nacional Autonoma de Mex,GCA_000298315.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/315/GCF_000298315.2_ASM29831v2,,assembly from type material,7146037,59.44,105,1,1.0286,1,1.0578,80,343668,9,94070,24,7030,
