mibig	mibig_class	function	compaund	full_name
BGC0001566	Polyketide	Cytotoxic	cylindrocyclophane	cylindrocyclophane biosynthetic gene cluster from Cylindrospermum licheniforme UTEX B 2014
BGC0001605	Terpene	Hormone	gibberellin	gibberellin biosynthetic gene cluster from Sinorhizobium fredii NGR234
BGC0001135	NRP	Antimicrobial	bicornutin	bicornutin A1 biosynthetic gene cluster from Xenorhabdus budapestensis
BGC0001844	NRP	Biosurfactant	holrhizin	holrhizin biosynthetic gene cluster from Paraburkholderia rhizoxinica HKI 454
BGC0000305	NRP	Biosurfactant	arthrofactin A	arthrofactin A biosynthetic gene cluster from Pseudomonas sp. MIS38
BGC0001225	NRP	Antibiotic	celesticetin	celesticetin biosynthetic gene cluster from Streptomyces caelestis
BGC0000331	NRP	Cytotoxic	cyanopeptin	cyanopeptin biosynthetic gene cluster from Planktothrix agardhii NIVA-CYA 116
BGC0000414	NRP	Antibiotic	quinocarcin	quinocarcin biosynthetic gene cluster from Streptomyces melanovinaceus
BGC0000426	NRP	Antibiotic	sevadicin	sevadicin biosynthetic gene cluster from Paenibacillus larvae
BGC0000427	NRP	Sunscreen	shinorine	shinorine biosynthetic gene cluster from Trichormus variabilis ATCC 29413
BGC0001536	NRP	Antibiotic	brevicidine	brevicidine biosynthetic gene cluster from Brevibacillus laterosporus
BGC0000287	NRP	Antibiotic	L-2-amino-4-methoxy-trans-3-butenoic acid	L-2-amino-4-methoxy-trans-3-butenoic acid biosynthetic gene cluster from Pseudomonas aeruginosa PAO1
BGC0001215	NRP	Cytotoxic	conglobatin	conglobatin biosynthetic gene cluster from Streptomyces conglobatus
BGC0000352	NRP	Siderophore	fimsbactin	fimsbactin A biosynthetic gene cluster from Acinetobacter sp. ADP1
BGC0001389	NRP	Biosurfactant	cichopeptin	cichopeptin biosynthetic gene cluster from Pseudomonas cichorii
BGC0000438	NRP	Phytotoxic	syringopeptin	syringopeptin 25A biosynthetic gene cluster from Pseudomonas syringae pv. syringae
BGC0000457	NRP	Siderophore	vicibactin	vicibactin biosynthetic gene cluster from Rhizobium etli CFN 42
BGC0002005	RiPP	Hormone	RaxX	RaxX biosynthetic gene cluster from Xanthomonas oryzae pv. oryzae
BGC0000484	RiPP	Antibiotic	glycocin	glycocin F biosynthetic gene cluster from Lactobacillus plantarum
BGC0000572	RiPP	Antibiotic	capistruin	capistruin biosynthetic gene cluster from Burkholderia thailandensis E444
BGC0000581	RiPP	Antibiotic	microcin J25	microcin J25 biosynthetic gene cluster from Escherichia coli
BGC0000590	RiPP	Antimicrobial	microcin N	microcin N biosynthetic gene cluster from Escherichia coli
BGC0000589	RiPP	Antibiotic	microcin M	microcin M biosynthetic gene cluster from Escherichia coli Nissle 1917
BGC0001727	RiPP	Antibiotic	paenilan	paenilan biosynthetic gene cluster from Paenibacillus polymyxa E681
BGC0001493	RiPP	Antibiotic	achromosin	achromosin biosynthetic gene cluster from Streptomyces achromogenes subsp. achromogenes
BGC0000575	RiPP	Antibiotic	lariatin	lariatin biosynthetic gene cluster from Rhodococcus jostii
BGC0000800	Saccharide	Exopolysaccharide	xantham	xanthan biosynthetic gene cluster from Xanthomonas campestris
BGC0000759	Saccharide	Exopolysaccharide	diutan	diutan polysaccharide biosynthetic gene cluster from Sphingomonas sp. ATCC 53159
BGC0000711	Saccharide	Antibiotic	neomycin	neomycin biosynthetic gene cluster from Streptomyces fradiae
BGC0000763	Saccharide	Exopolysaccharide	stewartan	stewartan biosynthetic gene cluster from Pantoea stewartii subsp. stewartii DC283
BGC0000803	Saccharide	Exopolysaccharide	GG exopolysaccharide	GG exopolysaccharide biosynthetic gene cluster from Lactobacillus rhamnosus GG
BGC0001589	Saccharide	Exopolysaccharide	exopolysaccharide	exopolysaccharides biosynthetic gene cluster from Burkholderia cenocepacia J2315
BGC0001588	Saccharide	Exopolysaccharide	exopolysaccharide	exopolysaccharides biosynthetic gene cluster from Burkholderia pseudomallei 1026b
BGC0001380	Saccharide	Exopolysaccharide	salecan	salecan biosynthetic gene cluster from Agrobacterium sp. ZX09
BGC0000768	Saccharide	Exopolysaccharide	gellan	gellan polysaccharide biosynthetic gene cluster from Sphingomonas elodea ATCC 31461
BGC0001546	Alkaloid	Antibiotic	chuangxinmycin	chuangxinmycin biosynthetic gene cluster from Actinoplanes tsinanensis
BGC0000868	Other	Cell Wall Polysacchharide	teichuronic acid	teichuronic acid biosynthetic gene cluster from Bacillus subtilis subsp. subtilis str. 168
BGC0001463	Other	Hormone	tetrabromopyrrole	"2,3,4,5-tetrabromopyrrole biosynthetic gene cluster from Pseudoalteromonas piscicida"
BGC0000892	Other	Antibiotic	caryoynencin	caryoynencin biosynthetic gene cluster from Burkholderia gladioli BSR3
BGC0001363	Mixed	Hormone	ralsolamycin	ralsolamycin biosynthetic gene cluster from Ralstonia solanacearum GMI1000
BGC0001152	Mixed	Antibiotic	fusaricidin B	fusaricidin B biosynthetic gene cluster from Paenibacillus polymyxa
BGC0000731	Saccharide	Exopolysaccharide	capsular polysaccharide 	capsular polysaccharide biosynthetic gene cluster from Klebsiella pneumoniae
BGC0000755	Saccharide	Exopolysaccharide	capsular polysaccharide 	capsular polysaccharide biosynthetic gene cluster from Avibacterium paragallinarum 221
				
